Bug ID · Title,Category · Severity,Module / Screen,Steps to Reproduce,Expected Behavior,Actual Behavior,Evidence,Browser + OS · Viewport,Reproducibility · Date,Notes / Hypothesis
"BUG-001 · Bottom links do nothing (Contact Us, Privacy, Support, etc.)",Functional · P2 ,Bottom footer + Home help boxes,"1. Log in. 2. Scroll to bottom. 3. Click Contact Us, Privacy, Support Home, Community, View Plans.","Each link should open its page, like in real Docusign.",Clicking those buttons/links produce no response and no link is opened.,https://drive.google.com/file/d/1wFhfqs6kgF1Ci7_99-FYvbxKtW5pb1vd/view,Chrome 152.0.7977.84 / macOS 26.2.2 · 1280×960,5/5 Attempts · 14-Sep-2026,"Links are not connected, may be all has # values."
BUG-002 · Add Recipients: Contact icon does nothing in Name field,Functional · P2 ,Get Signatures → Add Recipients,"1. Log in. 2. From Home, click Get Signatures. 3. Under Add Recipients. 4. Click the contact icon inside the Name field.","Clicking the contact icon should open the contact search/selection option, consistent with the original DocuSign.",Clicking the contact icon produces no visible response and no contact search/selection option is displayed.,https://drive.google.com/file/d/1j6_OIwtqXL4JDQjSrrczCgFNLVZmhFX6/view,Chrome 152.0.7977.84 / macOS 26.2.2 · 1280×960,5/5 Attempts · 14-Sep-2026,The contact-selection functionality associated with the icon may not be implemented or may not be triggering.
BUG-003 · Add Recipients: Set signing order is enabled with one recipient,UI / Functional · P3 ,Get Signatures → Add Recipients,"1. Log in. 2. From Home, click Get Signatures. 3. Under Add Recipients. 4. Observe the Set signing order when only one recipient is present.","Set signing order should be disabled when only one recipient is present, as in the original DocuSign.",Set signing order is displayed as an enabled/selectable option even when only one recipient is present.,https://drive.google.com/file/d/1Apy6FQJAC9Hianc-dn2OIv5_HBpqQl5L/view,Chrome 152.0.7977.84 / macOS 26.2.2 · 1280×960,5/5 Attempts · 14-Sep-2026,The enabled state may not be updated based on the number of recipients.
BUG-004 · Add Recipients: In Person Signer option is disabled,Functional · P2 ,Get Signatures → Add Recipients,"1. Log in. 2. From Home, click Get Signatures. 3. Under Add Recipients. 4. Open the recipient type dropdown currently showing Needs to Sign. 5. Click In Person Signer.","In Person Signer should be available for selection. Selecting it should add Host Name and Host Email fields for the in-person signer workflow, consistent with the original DocuSign.",In Person Signer is displayed as disabled/greyed out in the recipient type dropdown. Clicking it does not select the option or display the Host Name and Host Email fields.,https://drive.google.com/file/d/1PIFWIDMdgvvEatQPBnaOtxjiJPU5II9T/view,Chrome 152.0.7977.84 / macOS 26.2.2 · 1280×960,5/5 Attempts · 14-Sep-2026,The In Person Signer recipient type may not be implemented or may be incorrectly disabled.
BUG-005 · Add Recipients: Recipient customization options are disabled,Functional · P2 ,Get Signatures → Add Recipients → Customize,"1. Log in. 2. From Home, click Get Signatures. 3. Under Add Recipients. 4. Click Customize.","Recipient customization options such as Add access code, Add private message, and Advanced settings should be available, consistent with the original DocuSign.","Add access code, Add private message, and Advanced settings are displayed as greyed out and cannot be selected.",https://drive.google.com/file/d/17USWzfvNfuthXZjbcNb395HwOhSXdlcy/view,Chrome 152.0.7977.84 / macOS 26.2.2 · 1280×960,5/5 Attempts · 14-Sep-2026,Recipient customization options may be incorrectly disabled in the clone.
BUG-006 · Add Recipients: Invalid email accepted and allows progression,"Functional / Validation · P1	
",Get Signatures → Add Recipients,"1. Log in. 2. From Home, click Get Signatures. 3. Upload a document. 4. In Add Recipients, enter a recipient name. 5. Enter an invalid email address (e.g., ""aafd""). 6. Click Next: Add Fields.","The system should validate the recipient email address and prevent progression when an invalid email is entered, consistent with the original DocuSign.",The clone accepts the invalid email address and proceeds directly to the Add Fields screen without displaying an email validation error.,https://drive.google.com/file/d/15avfyxI-30coDr0dIl7pggJD3n6z8Dbf/view,Chrome 152.0.7977.84 / macOS 26.2.2 · 1280×960,5/5 Attempts · 15-Sep-2026,Email format validation may be missing or may only be performed at a later stage.
BUG-007 · Edit Recipients: Save button does not save changes,Functional · P1,Add Fields → Edit Recipients,1. Log in. 2. Create an envelope and proceed to Add Fields. 3. Open Edit Recipients. 4. Modify any recipient information. 5. Click Save.,"Clicking Save should save the modified recipient information and close the Edit Recipients dialog, consistent with the original DocuSign.",Clicking Save produces no response. The Edit Recipients dialog remains open and the changes are not saved.,https://drive.google.com/file/d/19oc_VcU5NiQ4xVkOKoWwNiqWiV1fw2G3/view,Chrome 152.0.7977.84 / macOS 26.2.2 · 1280×960,5/5 Attempts · 15-Sep-2026,The Save action may not be triggering the recipient update operation.
BUG-008 · Templates: Advanced Search missing owner and recipient filters,Functional · P2 ,Templates → My Templates → Advanced Search,1. Log in. 2. Under Templates 3. My Templates 4. Click dropdown Advanced Search,"Advanced Search should provide Template name, Template ID, Owner name and email, and Recipient name and email filters, consistent with the original DocuSign.",The clone's Advanced Search provides only Template name and Template ID. Owner name and email and Recipient name and email filters are unavailable.,https://drive.google.com/file/d/18af2rAH-U9JT1R44leqxYkmM1hmVK7ZQ/view,Chrome 152.0.7977.84 / macOS 26.2.2 · 1280×960,5/5 Attempts · 15-Sep-2026,Advanced Search may have incomplete filter functionality in the clone.
BUG-009 · Create Template: Save Changes dialog leaves required Template name empty,Functional / UI · P4,Start → Envelope Templates → Create a Template,1. Log in. 2. Click Start 3. Under templates -> Envelope Templates. 4. Click Create Template. 5. Click the X/close icon to exit the template.,"The Template name field should be prepopulated with a default template name, as in the original DocuSign, allowing the user to save the current progress without first entering a name.",The Template name field is empty and marked required. The Save button is disabled until the user manually enters a template name.,https://drive.google.com/file/d/1u3iAEdM3vH3tu6DsCRU58BJsNPYnZn0k/view,Chrome 152.0.7977.84 / macOS 26.2.2 · 1280×960,5/5 Attempts · 15-Sep-2026,Original DocuSign automatically generates a default template name in this dialog. Clone does not provide a default value.
BUG-010 · Top menu Reports and Admin cannot be clicked,Functional · P2 ,"Top menu (Home, Agreements, Templates, Reports, Admin)",1. Log in. 2. In top menu 3. Try to click Reports and Admin,"All menu items should open a page, like in real Docusign. If not ready, they should be hidden.
","Reports and Admin look faded and do nothing when clicked.	
",https://drive.google.com/file/d/1pgMvmD7iWCjS0AXhoY38_IhUIGOeUmzZ/view,Chrome 152.0.7977.84 / macOS 26.2.2 · 1280×960,5/5 Attempts · 15-Sep-2026,These buttons are left disabled in code.
